London borough,Designation,Former areas,Former areas2,Former areas3,Former areas4,Former areas5
Camden,Inner,Hampstead (11a),St Pancras (11b),Holborn (11c),,
Greenwich,Inner,Greenwich (22a),Woolwich (part) (22b),,,
Hackney,Inner,Hackney (9a),Shoreditch (9b),Stoke Newington (9c),,
Hammersmith & Fulham,Inner,Hammersmith (4a),Fulham (4b),,,
Islington,Inner,Islington (10a),Finsbury (10b),,,
Kensington & Chelsea,Inner,Kensington (3a),Chelsea (3b),,,
Lambeth,Inner,Lambeth (6a),Wandsworth (part) (6b),,,
Lewisham,Inner,Lewisham (21a),Deptford (21b),,,
Southwark,Inner,Bermondsey (7b),Camberwell (7c),Southwark (7a),,
Tower Hamlets,Inner,Bethnal Green (8a),Poplar (8c),Stepney (8b),,
Wandsworth,Inner,Battersea (5b),Wandsworth (part) (5a),,,
Westminster,Inner,Paddington (2c),St Marylebone (2b),Westminster (2a),,
Barking & Dagenham,Outer,Barking (part) (25a),Dagenham (part) (25b),,,
Barnet,Outer,Barnet (31a),East Barnet (31b),Finchley (31d),Hendon (31c),Friern Barnet (31e)
Bexley,Outer,Bexley (23b),Erith (23a),Crayford (23c),Chislehurst and Sidcup (part) (23d),
Brent,Outer,Wembley (12a),Willesden (12b),,,
Bromley,Outer,Bromley (20c),Beckenham (20b),Orpington (20e),Penge (20a),Chislehurst and Sidcup (part) (20d)
Croydon,Outer,Croydon (19a),Coulsdon and Purley (19b),,,
Ealing,Outer,Acton (13b),Ealing (13a),Southall (13c),,
Enfield,Outer,Edmonton (30c),Enfield (30a),Southgate (30b),,
Haringey,Outer,Hornsey (29b),Tottenham (29c),Wood Green (29a),,
Harrow,Outer,Harrow (32),,,,
Havering,Outer,Romford (24a),Hornchurch (24b),,,
Hillingdon,Outer,Hayes and Harlington (33c),Ruislip Northwood (33b),Uxbridge (33a),Yiewsley and West Drayton (33d),
Hounslow,Outer,Brentford and Chiswick (14c),Feltham (14a),Heston and Isleworth (14b),,
Kingston upon Thames,Outer,Kingston upon Thames (16a),Malden and Coombe (16b),Surbiton (16c),,
Merton,Outer,Mitcham (17c),Merton and Morden (17b),Wimbledon (17a),,
Newham,Outer,West Ham (27a),East Ham (27b),Barking (part) (27c),Woolwich (part) (27d),
Redbridge,Outer,Ilford (26a),Wanstead and Woodford (26b),Dagenham (part) (26c),Chigwell (part) (26d),
Richmond upon Thames,Outer,Barnes (15a),Richmond (15b),Twickenham (15c),,
Sutton,Outer,Beddington (18c),Carshalton (18b),Sutton and Cheam (18a),,
Waltham Forest,Outer,Chingford (28a),Leyton (28c),Walthamstow (28b),,
